Diameter, Number
6.20225,1.00226
4.08004,1.00226
2.73871,1.95079
1.81072,3.13907
1.21544,3.04108
0.807666,4.11026
0.550410,8.25789
0.440825,16.8561
0.365750,37.2456
0.247998,94.9228
0.161503,147.975
0.100506,157.665
